order_id,arrival_time,item_id,pick_point_id
1,158,3-7-left-item,3-7
1,158,3-11-left-item,3-11
1,158,7-16-right-item,7-16
1,158,9-8-left-item,9-8
1,158,7-1-right-item,7-1
2,396,7-10-right-item,7-10
2,396,2-13-right-item,2-13
2,396,3-18-left-item,3-18
2,396,2-4-right-item,2-4
2,396,8-12-left-item,8-12
3,405,4-10-right-item,4-10
3,405,3-6-left-item,3-6
3,405,1-5-left-item,1-5
3,405,8-9-left-item,8-9
3,405,8-13-left-item,8-13
4,480,4-5-left-item,4-5
4,480,9-13-left-item,9-13
4,480,8-17-right-item,8-17
4,480,7-13-left-item,7-13
4,480,1-13-right-item,1-13
5,482,7-17-right-item,7-17
5,482,5-17-left-item,5-17
5,482,7-6-right-item,7-6
5,482,9-8-left-item,9-8
5,482,6-13-left-item,6-13
6,502,8-15-left-item,8-15
6,502,4-12-right-item,4-12
6,502,1-7-left-item,1-7
6,502,7-17-right-item,7-17
6,502,9-17-left-item,9-17
7,629,6-6-left-item,6-6
7,629,3-17-right-item,3-17
7,629,6-9-left-item,6-9
7,629,4-1-right-item,4-1
7,629,5-16-right-item,5-16
8,687,9-3-left-item,9-3
8,687,9-20-left-item,9-20
8,687,2-19-right-item,2-19
8,687,5-19-left-item,5-19
8,687,9-10-right-item,9-10
9,723,2-1-left-item,2-1
9,723,7-12-right-item,7-12
9,723,3-10-left-item,3-10
9,723,2-8-right-item,2-8
9,723,7-5-right-item,7-5
10,748,4-10-right-item,4-10
10,748,1-1-left-item,1-1
10,748,9-3-right-item,9-3
10,748,5-11-left-item,5-11
10,748,5-9-left-item,5-9
11,793,1-7-left-item,1-7
11,793,5-16-right-item,5-16
11,793,1-11-left-item,1-11
11,793,9-1-right-item,9-1
11,793,5-17-right-item,5-17
12,867,7-5-right-item,7-5
12,867,4-15-left-item,4-15
12,867,3-4-right-item,3-4
12,867,7-6-right-item,7-6
12,867,2-1-right-item,2-1
13,942,1-18-right-item,1-18
13,942,8-3-left-item,8-3
