order_id,arrival_time,item_id,pick_point_id
1,37,1-11-right-item,1-11
1,37,9-1-left-item,9-1
1,37,3-14-right-item,3-14
1,37,3-20-right-item,3-20
1,37,9-13-right-item,9-13
2,163,7-20-left-item,7-20
2,163,6-12-right-item,6-12
2,163,4-13-right-item,4-13
2,163,1-13-left-item,1-13
2,163,5-8-right-item,5-8
3,187,2-6-left-item,2-6
3,187,4-10-right-item,4-10
3,187,3-8-right-item,3-8
3,187,9-5-right-item,9-5
3,187,8-19-left-item,8-19
4,244,2-2-right-item,2-2
4,244,2-12-right-item,2-12
4,244,4-8-right-item,4-8
4,244,9-9-left-item,9-9
4,244,8-19-right-item,8-19
5,316,5-10-right-item,5-10
5,316,9-17-right-item,9-17
5,316,6-12-left-item,6-12
5,316,7-8-left-item,7-8
5,316,1-5-left-item,1-5
6,416,7-7-left-item,7-7
6,416,1-9-left-item,1-9
6,416,5-18-left-item,5-18
6,416,2-3-right-item,2-3
6,416,9-20-right-item,9-20
7,432,9-11-left-item,9-11
7,432,3-7-right-item,3-7
7,432,8-11-left-item,8-11
7,432,7-19-right-item,7-19
7,432,6-7-left-item,6-7
8,588,2-20-left-item,2-20
8,588,2-15-left-item,2-15
8,588,4-9-right-item,4-9
8,588,9-11-right-item,9-11
8,588,1-8-left-item,1-8
9,673,8-9-left-item,8-9
9,673,4-13-right-item,4-13
9,673,5-14-left-item,5-14
9,673,1-16-right-item,1-16
9,673,6-16-left-item,6-16
10,861,6-4-left-item,6-4
10,861,5-13-right-item,5-13
10,861,9-4-right-item,9-4
10,861,8-15-left-item,8-15
10,861,8-11-left-item,8-11
11,975,4-11-right-item,4-11
11,975,4-6-left-item,4-6
11,975,3-18-right-item,3-18
11,975,8-4-left-item,8-4
11,975,2-9-right-item,2-9
12,1007,7-3-left-item,7-3
12,1007,2-11-left-item,2-11
12,1007,7-3-right-item,7-3
12,1007,8-2-right-item,8-2
12,1007,8-1-right-item,8-1
13,1063,8-4-left-item,8-4
13,1063,7-5-right-item,7-5
13,1063,7-11-left-item,7-11
13,1063,2-11-right-item,2-11
13,1063,2-5-right-item,2-5
14,1119,1-1-left-item,1-1
14,1119,9-18-right-item,9-18
14,1119,6-17-right-item,6-17
14,1119,9-10-right-item,9-10
14,1119,1-3-right-item,1-3
15,1132,9-4-left-item,9-4
15,1132,6-11-left-item,6-11
15,1132,7-19-right-item,7-19
15,1132,1-17-left-item,1-17
15,1132,7-13-left-item,7-13
16,1168,1-13-right-item,1-13
16,1168,5-5-left-item,5-5
16,1168,8-17-right-item,8-17
16,1168,8-12-left-item,8-12
16,1168,5-17-left-item,5-17
17,1220,1-19-left-item,1-19
17,1220,9-10-right-item,9-10
17,1220,7-16-left-item,7-16
17,1220,3-8-left-item,3-8
17,1220,4-7-left-item,4-7
18,1383,8-17-right-item,8-17
18,1383,2-4-left-item,2-4
18,1383,2-14-left-item,2-14
18,1383,9-17-left-item,9-17
18,1383,4-20-left-item,4-20
19,1432,2-10-left-item,2-10
19,1432,3-5-right-item,3-5
19,1432,9-5-right-item,9-5
19,1432,2-1-left-item,2-1
19,1432,7-2-left-item,7-2
20,1455,4-3-right-item,4-3
20,1455,7-2-right-item,7-2
20,1455,6-12-left-item,6-12
20,1455,2-20-left-item,2-20
20,1455,1-5-left-item,1-5
21,1455,1-8-right-item,1-8
21,1455,4-2-left-item,4-2
21,1455,8-16-left-item,8-16
21,1455,6-14-left-item,6-14
21,1455,5-7-right-item,5-7
22,1461,9-12-left-item,9-12
22,1461,5-2-left-item,5-2
22,1461,4-4-left-item,4-4
22,1461,1-14-right-item,1-14
22,1461,5-7-right-item,5-7
23,1629,2-16-right-item,2-16
23,1629,2-18-left-item,2-18
23,1629,1-17-right-item,1-17
23,1629,4-1-right-item,4-1
23,1629,9-8-right-item,9-8
24,1640,7-15-right-item,7-15
24,1640,8-15-right-item,8-15
24,1640,7-9-right-item,7-9
24,1640,9-13-right-item,9-13
24,1640,5-14-right-item,5-14
25,1641,5-10-left-item,5-10
25,1641,4-15-left-item,4-15
25,1641,5-15-right-item,5-15
25,1641,4-13-right-item,4-13
25,1641,8-5-left-item,8-5
26,1689,2-10-right-item,2-10
26,1689,9-11-left-item,9-11
26,1689,1-6-left-item,1-6
26,1689,6-5-left-item,6-5
26,1689,7-4-right-item,7-4
27,1719,3-1-right-item,3-1
27,1719,1-19-right-item,1-19
27,1719,4-2-left-item,4-2
27,1719,3-4-right-item,3-4
27,1719,8-6-right-item,8-6
28,1739,6-11-right-item,6-11
28,1739,5-16-left-item,5-16
28,1739,9-16-left-item,9-16
28,1739,4-4-right-item,4-4
28,1739,1-19-right-item,1-19
29,1838,1-18-right-item,1-18
29,1838,5-8-left-item,5-8
29,1838,5-5-left-item,5-5
29,1838,6-10-left-item,6-10
29,1838,9-15-left-item,9-15
30,1917,8-18-right-item,8-18
30,1917,2-8-left-item,2-8
30,1917,7-20-right-item,7-20
30,1917,5-9-right-item,5-9
30,1917,4-12-left-item,4-12
31,1980,4-20-right-item,4-20
31,1980,7-6-right-item,7-6
31,1980,7-3-right-item,7-3
31,1980,8-12-right-item,8-12
31,1980,4-5-right-item,4-5
32,1983,7-10-left-item,7-10
32,1983,7-1-right-item,7-1
32,1983,6-5-left-item,6-5
32,1983,3-3-left-item,3-3
32,1983,6-19-right-item,6-19
33,2080,2-3-left-item,2-3
33,2080,5-7-right-item,5-7
33,2080,1-6-left-item,1-6
33,2080,8-12-right-item,8-12
33,2080,2-7-left-item,2-7
34,2363,9-6-left-item,9-6
34,2363,7-9-right-item,7-9
34,2363,2-17-left-item,2-17
34,2363,3-3-right-item,3-3
34,2363,3-2-left-item,3-2
35,2382,4-3-left-item,4-3
35,2382,8-6-right-item,8-6
35,2382,7-18-left-item,7-18
35,2382,5-18-left-item,5-18
35,2382,8-17-right-item,8-17
36,2425,2-6-left-item,2-6
36,2425,2-13-right-item,2-13
36,2425,5-11-left-item,5-11
36,2425,2-9-right-item,2-9
36,2425,3-11-right-item,3-11
37,2600,1-17-left-item,1-17
37,2600,9-20-left-item,9-20
37,2600,8-19-left-item,8-19
37,2600,6-11-left-item,6-11
37,2600,2-20-left-item,2-20
38,2796,2-11-right-item,2-11
38,2796,8-7-right-item,8-7
38,2796,3-12-right-item,3-12
38,2796,6-2-left-item,6-2
38,2796,8-4-left-item,8-4
39,2818,6-14-left-item,6-14
39,2818,6-2-right-item,6-2
39,2818,9-11-left-item,9-11
39,2818,1-4-right-item,1-4
39,2818,3-11-right-item,3-11
40,2828,9-17-right-item,9-17
40,2828,4-18-left-item,4-18
40,2828,4-18-right-item,4-18
40,2828,1-6-left-item,1-6
40,2828,2-8-right-item,2-8
41,2872,6-9-left-item,6-9
41,2872,3-9-left-item,3-9
41,2872,8-12-right-item,8-12
41,2872,5-15-right-item,5-15
41,2872,5-19-right-item,5-19
42,2975,3-6-right-item,3-6
42,2975,1-6-left-item,1-6
42,2975,1-11-left-item,1-11
42,2975,1-11-right-item,1-11
42,2975,1-15-left-item,1-15
43,2987,9-17-left-item,9-17
43,2987,6-1-right-item,6-1
43,2987,4-11-left-item,4-11
43,2987,7-4-left-item,7-4
43,2987,6-19-left-item,6-19
44,3156,3-19-right-item,3-19
44,3156,6-19-left-item,6-19
44,3156,9-6-left-item,9-6
44,3156,9-2-right-item,9-2
44,3156,8-5-right-item,8-5
45,3163,8-18-left-item,8-18
45,3163,7-20-right-item,7-20
45,3163,1-8-left-item,1-8
45,3163,8-17-right-item,8-17
45,3163,7-15-left-item,7-15
46,3275,2-10-left-item,2-10
46,3275,2-3-left-item,2-3
46,3275,5-8-left-item,5-8
46,3275,7-4-right-item,7-4
46,3275,7-15-right-item,7-15
47,3338,7-14-left-item,7-14
47,3338,8-6-right-item,8-6
47,3338,3-5-right-item,3-5
47,3338,8-18-right-item,8-18
47,3338,2-12-right-item,2-12
48,3366,7-15-right-item,7-15
48,3366,4-14-left-item,4-14
48,3366,6-18-right-item,6-18
48,3366,5-19-left-item,5-19
48,3366,2-16-left-item,2-16
49,3389,4-17-right-item,4-17
49,3389,7-14-left-item,7-14
49,3389,9-10-right-item,9-10
49,3389,3-1-left-item,3-1
49,3389,8-7-left-item,8-7
50,3465,2-18-left-item,2-18
50,3465,2-3-left-item,2-3
50,3465,5-7-right-item,5-7
50,3465,8-1-right-item,8-1
50,3465,4-3-right-item,4-3
51,3572,7-7-left-item,7-7
51,3572,6-3-left-item,6-3
51,3572,1-8-right-item,1-8
51,3572,4-5-left-item,4-5
51,3572,5-16-left-item,5-16
52,3623,1-15-left-item,1-15
52,3623,5-12-right-item,5-12
52,3623,7-12-right-item,7-12
52,3623,9-7-right-item,9-7
52,3623,1-18-right-item,1-18
53,3634,2-1-left-item,2-1
53,3634,2-8-left-item,2-8
53,3634,3-16-left-item,3-16
53,3634,2-11-left-item,2-11
53,3634,8-10-right-item,8-10
