step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,4.629,2040.0266666666666,7720.33333333333,100,100,1089,3.4382974301765032,7.089378634833177,4.019439458847046,-2040.0266666666666,-0.042447193060070276,1167.679543601142,1.064520506395234,0.02565466964410411,0.1267361111111111,1,235.27514378521357,0.3026394844055176
2,9.195,1980.2500000000002,7606.333333333336,100,100,1091,3.4552278652519166,6.971891231286284,4.048036336898804,-1980.2500000000002,-0.006243534851819277,1166.9453413221572,1.0137751135561202,0.015551564490629567,0.1860532412926356,2,237.07415568943009,0.3032193183898926
3,13.682,1841.973333333333,7425.666666666666,100,100,1088,3.427154873005587,6.825061274509803,3.9923064708709717,-1841.973333333333,-0.03549054615637835,985.3183611701517,0.9622030258178711,0.016023552606758827,0.19623161764705882,3,238.85476506612835,0.3032193183898926
4,18.229,1946.5033333333338,7475.000000000002,100,100,1089,3.4524777774161106,6.864095500459139,4.0311033725738525,-1946.5033333333338,-0.029308188913597003,1085.7698788113064,0.920387347539266,0.02053240135622521,0.20789930555555555,4,239.01008833949274,0.3032193183898926
5,22.769,2023.3299999999995,7711.999999999996,100,100,1088,3.4674550553223953,7.088235294117644,4.050684690475464,-2023.3299999999995,-0.03292724753127379,1176.8023609834559,0.9163631218321183,0.02363138280206305,0.20496323529411764,5,239.13682503200204,0.3032193183898926
6,27.309,1992.6233333333344,7578.0,100,100,1090,3.4498233944092185,6.952293577981651,4.034300327301025,-1992.6233333333344,-0.02361648309872382,1164.3893669976128,0.9223885022931628,0.018377603781926963,0.1953125,6,239.29937530829906,0.3032193183898926
7,31.398,2021.46,7672.666666666666,100,100,1091,3.03868331793204,7.032691720134433,3.5799825191497803,-2021.46,-0.04748048178023762,1129.9485092163086,0.936631997426351,0.0005618087145396405,0.13859953731298447,7,242.88207921361814,0.3032193183898926
8,35.652,2068.820000000001,7862.666666666668,100,100,1090,3.164109910107773,7.213455657492356,3.731387138366699,-2068.820000000001,-0.05110389475400249,1188.7129431830513,0.8798486590385437,0.0008409567785242365,0.20616319444444445,8,244.47310149820814,0.3032193183898926
9,40.112,1970.3933333333334,7611.666666666665,100,100,1089,3.361762167340276,6.9895928986838065,3.9181509017944336,-1970.3933333333334,-0.04299157174925009,1089.6996019151475,0.8760504722595215,0.015020169246579625,0.2092013888888889,9,244.43801665128848,0.3032193183898926
10,50.686,1948.3900000000003,7550.333333333333,100,100,1088,3.4281351100242534,6.939644607843137,3.999042272567749,-1948.3900000000003,-0.02901513096602524,1069.9069016400506,0.8142257104901707,0.019190143191200847,0.2270220588235294,10,244.3075303670266,0.3032193183898926
11,55.191,1976.1366666666672,7608.999999999999,100,100,1088,3.4237830897087833,6.993566176470587,3.994884967803955,-1976.1366666666672,-0.03129631565774188,1064.9798027487361,0.8035299479961395,0.009279505726333489,0.2113970588235294,11,217.0807933540112,0.3032193183898926
12,59.71,1866.7699999999995,7382.333333333331,100,100,1089,3.4370512422131454,6.779002142638505,4.00645899772644,-1866.7699999999995,-0.0457627196641018,917.4569528367784,0.7643633352385627,0.022277946427897807,0.20052083333333334,12,218.88988582691172,0.3032193183898926
13,64.247,2017.9333333333334,7682.333333333335,100,100,1085,3.448972255764057,7.0804915514592945,4.019705057144165,-2017.9333333333334,-0.02544863982235684,1112.4883404900047,0.7805520699304693,0.019474044846206465,0.21386812846450245,13,220.32308327173084,0.3032193183898926
14,68.76,1987.6833333333334,7662.333333333332,100,100,1088,3.44156709530473,7.042585784313724,4.015573501586914,-1987.6833333333334,-0.02604367277201484,1072.7489570168889,0.7812507906380821,0.02056351107517805,0.22012867647058823,14,221.68478360421997,0.3032193183898926
15,73.277,1942.0400000000002,7510.333333333333,100,100,1089,3.416501470205192,6.896541169268442,3.9975662231445312,-1942.0400000000002,-0.02149957578836216,1017.3310190836588,0.6619962884320153,0.03237720134590442,0.2131076388888889,15,222.8795806574478,0.3032193183898926
16,77.882,1913.0966666666673,7461.333333333335,100,100,1090,3.4916816523871086,6.845259938837922,4.094842910766602,-1913.0966666666673,-0.028886095103290346,992.9070485432943,0.6632161297731929,0.030247638577647094,0.21354166666666666,16,223.69599830851882,0.3032193183898926
17,81.962,1902.8199999999997,7479.333333333329,100,100,1090,3.0309300926308906,6.861773700305807,3.564500570297241,-1902.8199999999997,-0.07092903233650658,923.6932148403591,0.69387270261844,0.007393273240369227,0.19270833333333334,17,225.86012774640997,0.3032193183898926
