step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,6.194,296.7833333333333,4084.0000000000005,100,100,1090,4.795049541147101,3.7467889908256886,5.433927536010742,-296.7833333333333,-0.03935073911108904,131.20729764302573,1.0851295822196536,-0.002684590380845798,0.11197916666666667,1,175.96407213147288,0.42514514923095703
2,12.293,290.76666666666665,4055.333333333334,100,100,1091,4.808607421376624,3.7170791322945314,5.4626383781433105,-290.76666666666665,-0.03351576807391313,114.45141553878784,1.0560459113783307,-0.010262156849623554,0.2922453706463178,2,177.4458228384509,0.4254603385925293
3,18.391,287.12333333333333,4103.333333333332,100,100,1092,4.796952105360958,3.7576312576312567,5.449973821640015,-287.12333333333333,-0.05088690332033568,114.6638520028856,1.012219635148843,-0.003283553627423114,0.23307291666666666,3,177.97301880133708,0.4254603385925293
4,24.542,300.0766666666667,4074.0,100,100,1092,4.826881503174593,3.730769230769231,5.491751194000244,-300.0766666666667,-0.009112772221366564,130.1504775153266,0.96895731985569,0.01105537763538046,0.22743055555555555,4,177.8597540476805,0.4254603385925293
5,30.64,288.46333333333337,4087.333333333333,100,100,1092,4.79471749289647,3.7429792429792426,5.4448206424713135,-288.46333333333337,-0.05609589540917012,107.76087416542902,0.9857252654102113,-0.005698064122245544,0.19921875,5,178.10820645854307,0.4254603385925293
6,36.739,288.0666666666666,3989.666666666666,100,100,1091,4.792193675266048,3.6568897036358075,5.441268444061279,-288.0666666666666,-0.044146373195366725,107.5989015367296,0.8995947043100992,0.0029279827463647556,0.24551504684819114,6,178.23518603125027,0.4254603385925293
7,42.767,299.07,4072.666666666667,100,100,1092,4.73060979921074,3.7295482295482296,5.3744261264801025,-299.07,-0.04647119573524429,108.75669010480244,0.8457796341843076,-0.0052433451281912215,0.22005208333333334,7,178.6427967864761,0.4254603385925293
8,48.421,292.87999999999994,4052.0000000000005,100,100,1092,4.403854301433853,3.710622710622711,5.019684791564941,-292.87999999999994,-0.022159272753116157,121.67871687147353,0.804746512737539,-0.00336281375752555,0.19444444444444445,8,180.33512334600331,0.4254603385925293
9,54.203,287.04333333333335,4017.9999999999995,100,100,1092,4.413809618126301,3.679487179487179,5.027882099151611,-287.04333333333335,-0.05544206489705377,103.2711746427748,0.8618333472145928,0.006676640225729595,0.22265625,9,181.24449343100895,0.4254603385925293
10,68.067,290.1,4104.666666666666,100,100,1092,4.712144505009124,3.7588522588522584,5.362487316131592,-290.1,-0.03238825738016102,104.37499157587688,0.7753030326631334,0.00916550884075049,0.2243923611111111,10,180.36857092528768,0.4254603385925293
11,74.148,285.42333333333335,4096.666666666667,100,100,1091,4.770424107826331,3.754964864039108,5.415229797363281,-285.42333333333335,-0.05214888995720281,100.33965105480618,0.7274925659100214,-0.002946405917302602,0.22554976907041338,11,161.9345373958414,0.4254603385925293
12,80.173,284.49666666666667,4092.6666666666674,100,100,1092,4.716243587955389,3.7478632478632488,5.359925031661987,-284.49666666666667,0.016715820154382124,130.78654421700372,0.6986183507574929,0.002995777926925156,0.1948784722222222,12,163.384499755672,0.4254603385925293
13,86.301,286.7233333333333,4033.3333333333335,100,100,1091,4.822186068661586,3.6969141460433854,5.4670820236206055,-286.7233333333333,-0.04189575660145945,91.44123282035191,0.6705887292822202,0.006535341516913225,0.20023148175742891,13,164.42495277751908,0.4254603385925293
14,92.436,292.84333333333336,4064.666666666666,100,100,1092,4.816119321907663,3.722222222222222,5.478096008300781,-292.84333333333336,-0.006086801696154807,107.8061646355523,0.599312370022138,0.00212423687076403,0.1831597222222222,14,165.32637812053946,0.4254603385925293
15,98.575,292.50000000000006,4039.333333333333,100,100,1091,4.839840786523885,3.7024136877482428,5.491574287414551,-292.50000000000006,-0.04313330468721688,89.4430821802881,0.6469563725921843,0.002678959882662942,0.19762731509076226,15,166.0965542629498,0.4254603385925293
16,104.745,290.35666666666674,4057.333333333333,100,100,1091,4.875927128808574,3.7189123128628165,5.531899452209473,-290.35666666666674,-0.04173496994189918,93.90884780883789,0.6066403331028091,0.0043219166885440545,0.19603588018152449,16,166.729589489736,0.4254603385925293
