step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,7.02,2026.68,7645.666666666666,100,100,1086,5.019343552020127,7.040208717004297,5.747420310974121,-2026.68,-0.03015316206523601,495.1179845473346,1.037031939801048,0.010580189005636117,0.11709855233921725,1,154.70855271396508,0.3019065856933594
2,13.928,1986.5800000000004,7614.333333333335,100,100,1087,5.337075254277574,7.004906470407851,6.162792444229126,-1986.5800000000004,-0.036131725482204384,467.2694334142348,1.0039381823118996,0.021206409341710454,0.23603087225381067,2,156.01842540478037,0.3019065856933594
3,19.99,1876.626666666666,7470.666666666666,100,100,1089,4.6106677683484225,6.860116314661768,5.296897649765015,-1876.626666666666,0.0023101458532942664,427.5001797146267,0.9505256596538756,0.02017481208571957,0.1723090277777778,3,163.18004930268353,0.3019065856933594
4,25.726,1935.003333333333,7527.333333333333,100,100,1088,4.349874357157044,6.918504901960784,5.052639007568359,-1935.003333333333,-0.03661442657603937,428.40840238683364,0.9337059592499453,0.016073014600859845,0.19806985294117646,4,169.09848454663978,0.3019065856933594
5,31.566,1942.3433333333328,7528.999999999996,100,100,1087,4.538080220221239,6.926402943882241,5.215391397476196,-1942.3433333333328,-0.032678294543396026,436.38047880284927,0.9515839517116547,0.01311053171315614,0.19832516461610794,5,172.24144047438764,0.3019065856933594
6,37.652,2025.8366666666675,7646.333333333337,100,100,1087,4.813238822558609,7.0343452928549555,5.508300065994263,-2025.8366666666675,-0.03994878255488241,460.9281903435202,0.9404484173830818,0.017316530622980175,0.2010460443356458,6,173.27447227542453,0.3019065856933594
7,43.798,2002.2299999999998,7674.666666666666,100,100,1089,4.852786591991481,7.047444138353229,5.5698864459991455,-2002.2299999999998,-0.02219892619177699,439.6856117248535,0.8716186516814761,0.013625367376435962,0.19227430555555555,7,173.82028298120193,0.3019065856933594
8,49.913,1916.753333333333,7445.666666666665,100,100,1088,4.854438786209999,6.843443627450979,5.564781427383423,-1916.753333333333,-0.03174542011145283,403.37950762580425,0.8833421328488518,0.009828036096330513,0.15625,8,174.3243963814187,0.3019065856933594
9,55.976,1986.5866666666666,7639.666666666668,100,100,1088,4.823842005113393,7.021752450980394,5.5247111320495605,-1986.5866666666666,-0.031023069120505276,416.8361385569853,0.826964944601059,0.007049692883704077,0.1636029411764706,9,174.8800029188379,0.3019065856933594
10,69.618,1933.0266666666676,7487.333333333336,100,100,1089,4.818013223650103,6.875420875420877,5.530573129653931,-1933.0266666666676,-0.02813062734074063,374.45325809054907,0.7969099779923757,0.0030257072648964822,0.15755208333333334,10,175.22128222446597,0.3019065856933594
11,75.766,1966.976666666668,7538.333333333338,100,100,1086,4.870488211678935,6.941375076734197,5.573712348937988,-1966.976666666668,-0.024327715365763974,407.1775907628676,0.7549176812171936,0.011272925681516747,0.19860353364663966,11,157.90791891676753,0.3019065856933594
12,81.872,1975.9699999999998,7655.333333333334,100,100,1087,4.846240569350739,7.0426249616682,5.542887210845947,-1975.9699999999998,-0.025793710120898837,380.3222763959099,0.7150991927174961,0.011218211579355685,0.1845165153636652,12,159.4083215932234,0.3019065856933594
13,88.17,1996.3666666666668,7668.000000000002,100,100,1086,4.969583240699565,7.060773480662985,5.698765754699707,-1996.3666666666668,-0.0271243103505934,381.1095477833467,0.6731930112137514,0.02549745816299144,0.21827561583589106,13,160.3372410400079,0.3019065856933594
14,94.091,1933.166666666667,7597.666666666664,100,100,1090,4.589725046850091,6.970336391437306,5.317254304885864,-1933.166666666667,-0.0190869498377045,335.74726655748157,0.6311035777131716,0.027682402526908036,0.22960069444444445,14,161.8345616352664,0.3019065856933594
15,101.244,1971.9999999999998,7554.999999999999,100,100,1087,5.673816007015354,6.950321987120514,6.504720211029053,-1971.9999999999998,-0.018002126749385807,345.1450154921588,0.6298985384842929,0.07113881532431525,0.20847922651206746,15,161.13560605362701,0.3019065856933594
16,109.687,1806.4133333333336,7358.66666666667,100,100,1091,6.809253438621739,6.744882370913538,7.770002841949463,-1806.4133333333336,-0.02089402809118231,262.36582438151044,0.6057125603159269,0.03722071488543103,0.22497106591860452,16,158.67896874941508,0.3019065856933594
17,117.554,2013.8033333333335,7696.666666666667,100,100,1090,6.3269784433741565,7.061162079510703,7.214990139007568,-2013.8033333333335,-0.03435794445168641,331.82668166690405,0.6307725595931212,0.05982127432556202,0.23958333333333334,17,157.33181919522545,0.3019065856933594
18,125.408,1982.5199999999998,7518.666666666667,100,100,1086,6.372420258865509,6.923265807243708,7.22239875793457,-1982.5199999999998,-0.02192256260005867,308.43649561264937,0.6284114385352415,0.04314416270319592,0.20217623298659043,18,156.13818658036755,0.3019065856933594
19,133.271,1972.7799999999995,7559.666666666663,100,100,1091,6.324133548909486,6.929117018026273,7.192723274230957,-1972.7799999999995,-0.04083415229494373,287.32290267944336,0.61452942672703,0.03448347016496377,0.21469907462596893,19,155.1129156301054,0.3019065856933594
20,150.792,1952.7833333333326,7580.333333333331,100,100,1090,6.371120458421801,6.954434250764524,7.247774124145508,-1952.7833333333326,-0.006432362418207858,278.297664642334,0.6773069385025237,0.017952466981821798,0.21961805555555555,20,154.15047017066613,0.3019065856933594
21,158.629,1870.8633333333335,7415.666666666666,100,100,1088,6.362253400498851,6.815870098039215,7.209132671356201,-1870.8633333333335,-0.016093698823276686,235.858860689051,0.5943693781600279,0.06412069096147795,0.16957720588235295,21,144.04656790120353,0.3019065856933594
22,166.567,1929.59,7594.999999999999,100,100,1090,6.4069310073962935,6.96788990825688,7.281111240386963,-1929.59,-0.046579746891640954,227.00442769792346,0.592831657992469,0.051942340955267556,0.15928819444444445,22,143.72588441807005,0.3019065856933594
23,174.458,2052.166666666666,7686.666666666666,100,100,1088,6.386455239514951,7.064950980392156,7.251082420349121,-2052.166666666666,-0.017987876144402167,277.6461347692153,0.635892415747923,0.06831985205302343,0.16636029411764705,23,143.46126317864756,0.3019065856933594
24,181.917,1924.8299999999997,7362.333333333334,100,100,1089,5.980940038360539,6.760636669727579,6.811308145523071,-1924.8299999999997,-0.052678390561292567,202.50238268905215,0.5704422058382382,0.057573327283737145,0.18098958333333334,24,143.56533439256503,0.3019065856933594
25,189.104,1928.6,7425.0,100,100,1088,5.763090718520449,6.8244485294117645,6.567700147628784,-1928.6,-0.01412869047592668,220.94763991411995,0.6207450768526863,0.03501628850148443,0.17095588235294118,25,143.86245044981044,0.3019065856933594
26,196.928,1957.7400000000007,7561.333333333333,100,100,1087,6.349986291742389,6.956148420729837,7.195860147476196,-1957.7400000000007,-0.013699927641188396,220.08626242244944,0.6272242568871554,0.04358980622526039,0.16792863037656336,26,143.6670490689325,0.3019065856933594
27,204.82,2020.5866666666668,7644.666666666664,100,100,1090,6.3670194501681,7.013455657492353,7.242850303649902,-2020.5866666666668,-0.007788005750626326,212.43023697535196,0.6184851243843039,0.2892264244405346,0.1657986111111111,27,143.45313118184686,0.3019065856933594
28,212.643,1896.0533333333337,7490.000000000002,100,100,1087,6.349535968789545,6.890524379024841,7.194956064224243,-1896.0533333333337,-0.019766080631491018,164.5959432265338,0.5893898378400242,0.0680529307710993,0.13432247958639087,28,143.28715469416892,0.3019065856933594
29,220.451,1980.3166666666655,7536.9999999999945,100,100,1086,6.336141252589222,6.940147329650087,7.180729627609253,-1980.3166666666655,-0.011454369996071738,189.28461478738222,0.5771053950576222,0.06793536643004593,0.13780834920266094,29,143.13850541227643,0.3019065856933594
30,238.0,1970.973333333333,7619.0,100,100,1088,6.371476286243277,7.002757352941177,7.222505331039429,-1970.973333333333,-0.012211050619097316,168.2481207006118,0.5869539309950436,0.0785527822753305,0.12775735294117646,30,142.9757909977569,0.3019065856933594
31,245.806,1892.853333333334,7488.666666666666,100,100,1082,6.363302772880193,6.9211337030191,7.173287868499756,-1892.853333333334,-0.012215402799055856,135.87755696913774,0.5786586149650461,0.07370403269305825,0.14677357980433633,31,137.20161926247854,0.3019065856933594
32,253.651,1854.7833333333338,7260.333333333334,100,100,1086,6.36877440230005,6.685389809699203,7.212336540222168,-1854.7833333333338,-0.0031642955453956827,138.5305559494916,0.6061291957602781,0.13148895754506262,0.12394746173830594,32,137.23999408858558,0.3019065856933594
33,261.488,1940.2866666666669,7500.000000000004,100,100,1085,6.365837604837483,6.912442396313367,7.203285455703735,-1940.2866666666669,-0.011051300474826027,140.99573606603286,0.6442288993036046,0.07445997570860474,0.109322263585294,33,137.2758450372725,0.3019065856933594
34,268.983,1940.3099999999988,7420.999999999995,100,100,1087,6.0469457228936205,6.827046918123271,6.864903926849365,-1940.3099999999988,-0.0200807790764991,126.54896702485927,0.617889949504067,0.04637773762292722,0.1274801593493013,34,137.4918624555411,0.3019065856933594
35,276.177,1887.786666666667,7460.666666666668,100,100,1091,5.724447661128124,6.838374579896121,6.5398736000061035,-1887.786666666667,-0.045631340601378016,99.70393380853865,0.5935860091251217,0.2846628006688358,0.14134838018152449,35,137.860866947867,0.3019065856933594
36,284.017,1887.6700000000003,7362.666666666669,100,100,1086,6.361279649806636,6.779619398403931,7.215216636657715,-1887.6700000000003,-0.01834938127328368,96.99016077378216,0.5792194552281323,0.06213465866441017,0.13355372364030166,36,137.87909124068435,0.3019065856933594
37,291.881,1941.1966666666663,7471.333333333332,100,100,1087,6.286775530294516,6.873351732597362,7.130718231201172,-1941.1966666666663,-0.013949746539925827,101.54975027196548,0.5661701148047167,0.07921559925821117,0.12054300943718237,37,137.88815285257417,0.3019065856933594
38,299.755,1908.5133333333338,7460.333333333337,100,100,1087,6.266462464329359,6.863232137381175,7.112889766693115,-1908.5133333333338,-0.017312833820195758,104.26435425702263,0.5309059356941896,0.03309527859571116,0.11874854170224246,38,137.89295038171616,0.3019065856933594
39,307.694,2063.1966666666667,7718.666666666667,100,100,1090,6.23258366751476,7.081345565749236,7.093306541442871,-2063.1966666666667,-0.011985490771217478,122.2315002017551,0.523947988740272,0.08049841783940792,0.13368055555555555,39,137.87740000229496,0.3019065856933594
40,325.177,1979.576666666667,7650.000000000001,100,100,1088,6.189967094435226,7.031250000000001,7.039799213409424,-1979.576666666667,-0.01579507363631445,98.15322797438678,0.49498552785200234,0.07834673102479428,0.12683823529411764,40,137.88385085444625,0.3019065856933594
41,333.035,2031.4000000000005,7727.6666666666715,100,100,1088,6.232807537611841,7.102634803921573,7.0688817501068115,-2031.4000000000005,-0.010240440969081485,92.90412173551671,0.4594650899662691,0.06422822536928031,0.09834558823529412,41,133.92008478633895,0.3019065856933594
42,340.952,1892.9099999999992,7485.333333333331,100,100,1091,6.263142253492475,6.860983806904978,7.122791767120361,-1892.9099999999992,-0.005528432989699973,73.13811911476984,0.44478389869133633,0.10685291782849365,0.10894097222222222,42,134.01004638595597,0.3019065856933594
43,348.836,2045.47,7628.666666666666,100,100,1091,6.246732906835353,6.992361747632141,7.123880624771118,-2045.47,-0.011623236298975017,89.43748834398058,0.5164005491468642,0.06443726792996232,0.13440393573708004,43,134.1088467754022,0.3019065856933594
44,356.38,1949.1466666666672,7611.33333333333,100,100,1089,6.05547621974908,6.9892868074686225,6.884287357330322,-1949.1466666666672,-0.04212703224685457,69.71711858693097,0.4964896539847056,0.05738127113565699,0.14713541666666666,44,134.32575141623852,0.3019065856933594
45,363.487,1834.8200000000004,7272.333333333335,100,100,1088,5.691731709007667,6.684129901960786,6.472781419754028,-1834.8200000000004,-0.00803914523738272,60.342746285831225,0.5399695336818695,0.09041374296579949,0.06801470588235294,45,134.69261129029448,0.3019065856933594
46,371.028,1848.803333333334,7381.333333333337,100,100,1086,6.102559944502426,6.796807857581341,6.920686721801758,-1848.803333333334,-0.004710135597954778,57.60708960364847,0.5075441274572822,0.07616982800776467,0.08983633754884496,46,134.88188039569795,0.3019065856933594
47,378.865,1976.6633333333336,7493.333333333332,100,100,1086,6.361302485861892,6.899938612645794,7.209349870681763,-1976.6633333333336,-0.005107391077805968,69.48635191075942,0.5308451442157521,0.06158170131247436,0.08982151308480431,47,134.9587865252445,0.3019065856933594
48,386.742,1973.0000000000011,7607.333333333338,100,100,1090,6.346894495313081,6.979204892966365,7.211863994598389,-1973.0000000000011,0.035636511320869126,67.48993259006076,0.5190654024481773,0.06692244378306593,0.0859375,48,135.02801403364535,0.3019065856933594
49,394.548,1927.1533333333332,7581.666666666668,100,100,1088,6.329964153337642,6.968443627450982,7.170803070068359,-1927.1533333333332,-0.007730894667260787,68.86609066233916,0.45773257490466623,0.11559852252385634,0.07996323529411764,49,135.11401565446306,0.3019065856933594
50,412.179,1775.3733333333337,7311.999999999998,100,100,1085,6.365802488718955,6.739170506912441,7.188534736633301,-1775.3733333333337,-0.006113105864428422,54.460993374095246,0.4190541733713711,0.28396861926953804,0.11796347610652447,50,135.18168770428053,0.3019065856933594
51,420.113,1935.5933333333337,7568.999999999997,100,100,1091,6.127165994964588,6.937671860678274,6.9790520668029785,-1935.5933333333337,0.01079040796806415,62.84166325463189,0.48688883003261363,0.06392332275411011,0.06727430555555555,51,132.0716623975627,0.3019065856933594
52,427.991,1980.4933333333338,7590.666666666664,100,100,1090,6.0848656854882766,6.9639143730886826,6.924902439117432,-1980.4933333333338,-0.04780930591126283,55.000681426790024,0.45170440814561313,0.032227011701454304,0.10286458333333333,52,132.18724562508459,0.3019065856933594
53,435.807,1896.1566666666672,7426.666666666666,100,100,1091,6.039525756755832,6.807210510235258,6.874720811843872,-1896.1566666666672,-0.03620649491333299,53.75653603341844,0.4426324571379357,0.08433695514071991,0.09244791666666667,53,132.32011823181455,0.3019065856933594
54,443.574,1864.5266666666676,7544.666666666671,100,100,1091,6.014032537155161,6.915368163764135,6.850268125534058,-1864.5266666666676,0.011047234551774131,45.52787406577004,0.446490079164505,0.1200053785643023,0.11067708416117562,54,132.4626711418835,0.3019065856933594
55,450.779,1953.9133333333325,7640.666666666667,100,100,1090,5.734012567826948,7.009785932721713,6.541630744934082,-1953.9133333333325,-0.0435979995980031,49.09307175212436,0.37183123856003575,0.06765676998636788,0.10069444444444445,55,132.76364973373455,0.3019065856933594
56,458.306,1905.913333333333,7554.0,100,100,1089,6.021349586625956,6.9366391184573,6.8715832233428955,-1905.913333333333,-0.04105898261898094,39.43265120519532,0.37449236146505566,0.14783083291129312,0.09461805555555555,56,132.9591445922998,0.3019065856933594
57,466.188,1873.8666666666666,7472.666666666666,100,100,1089,6.343853626360893,6.861952861952862,7.229448556900024,-1873.8666666666666,-0.0011751839839335945,32.727433774206375,0.3431427789231141,0.13308924918399295,0.11024305555555555,57,133.04713478961656,0.3019065856933594
58,474.001,2045.7833333333335,7778.333333333334,100,100,1087,6.3138613637996,7.155780435449249,7.179062604904175,-2045.7833333333335,-0.00905782203463947,55.78254587510053,0.43509142539080453,0.08057176691534765,0.10310895258889478,58,133.1474682954431,0.3019065856933594
59,481.865,1893.723333333333,7419.666666666666,100,100,1090,6.338858072872385,6.8070336391437305,7.204940557479858,-1893.723333333333,-0.047468503988865346,39.80086816681756,0.3714580470181027,0.07223756452246259,0.09375,59,133.23652549887174,0.3019065856933594
60,499.049,1865.01,7260.999999999998,100,100,1086,6.319879280968396,6.686003683241251,7.157283544540405,-1865.01,-0.013534804586978519,45.49354463465073,0.4019029859234305,0.19490711397135302,0.09865690198014765,60,133.33640861667948,0.3019065856933594
61,506.886,1804.6833333333334,7294.333333333333,100,100,1085,6.368853086026274,6.722887864823348,7.2010791301727295,-1804.6833333333334,-0.008625671596211545,32.98824826408835,0.38643691206679626,0.1674257169429706,0.08673607689492843,61,130.94271982195212,0.3019065856933594
62,514.796,1986.17,7680.666666666665,100,100,1089,6.382459506077762,7.052953780226506,7.243293762207031,-1986.17,-0.036801187968295485,39.83006037606133,0.36707928490900693,0.11557507362966943,0.10416666666666667,62,131.04598042984867,0.3019065856933594
63,522.625,1980.8999999999996,7513.999999999998,100,100,1088,6.338641359487904,6.906249999999998,7.1994404792785645,-1980.8999999999996,-0.013525693786933142,47.92471795923569,0.4228709313799353,0.06544233875020462,0.09834558823529412,63,131.16475224328389,0.3019065856933594
64,530.433,1866.206666666667,7398.333333333332,100,100,1088,6.323230055225876,6.799938725490195,7.1699841022491455,-1866.206666666667,-0.015945190015961144,44.84705599616556,0.4134647811160368,0.08847255451495156,0.08501838235294118,64,131.28514978432705,0.3019065856933594
65,538.043,2035.3133333333328,7629.33333333333,100,100,1089,6.090580257847973,7.005815733088458,6.94442343711853,-2035.3133333333328,-0.03684578753179974,52.88897763358222,0.4702334561281734,0.11792944756517601,0.13194444444444445,65,131.45234578212407,0.3019065856933594
66,545.591,2050.913333333334,7608.333333333336,100,100,1089,6.0573650135541515,6.986531986531989,6.8977742195129395,-2050.913333333334,-0.05274664952109257,50.55676360925039,0.4349018989337815,0.06811495829444741,0.1410590277777778,66,131.62966284251158,0.3019065856933594
67,553.459,1938.5700000000015,7597.66666666667,100,100,1088,6.384449725052999,6.9831495098039245,7.24645209312439,-1938.5700000000015,-0.016528061810223496,45.72422481985653,0.4252716302871704,0.10290241844075568,0.11488970588235294,67,131.72439590409616,0.3019065856933594
68,561.346,2025.8466666666673,7613.333333333332,100,100,1090,6.353042938387654,6.984709480122323,7.225717782974243,-2025.8466666666673,0.014590512081566785,43.538718435499405,0.44167227298021317,0.13520065561169758,0.11371527777777778,68,131.81524513592237,0.3019065856933594
69,569.206,1955.9166666666672,7543.000000000004,100,100,1090,6.337837340019711,6.920183486238535,7.203332901000977,-1955.9166666666672,0.008958699233416054,41.48505030737983,0.4103915078772439,0.10918161738987288,0.10590277777777778,69,131.90998588177297,0.3019065856933594
70,586.461,1989.3299999999997,7509.33333333333,100,100,1089,6.34121019230716,6.895622895622893,7.199314594268799,-1989.3299999999997,-0.05164095562779241,37.19661778873868,0.3323359199701275,0.03451347803153718,0.10503472222222222,70,131.99645180493596,0.3019065856933594
71,594.275,1912.566666666667,7511.000000000004,100,100,1088,6.3337934735660815,6.903492647058827,7.179263591766357,-1912.566666666667,-0.01291663632454241,35.8119717205272,0.3038791637210285,0.1651900779483292,0.11075367647058823,71,130.0088641077208,0.3019065856933594
72,602.117,1975.753333333332,7637.33333333333,100,100,1087,6.3603940188949855,7.026065624041702,7.211113214492798,-1975.753333333332,-0.01423429574488717,39.6237740797155,0.29762356027084236,0.10696590219295639,0.0966167721678229,72,130.12080874802774,0.3019065856933594
73,609.964,1959.8733333333337,7508.333333333334,100,100,1089,6.334362349633719,6.89470462197735,7.187490701675415,-1959.8733333333337,-0.0016145305190649298,30.115850418806076,0.2818472738985697,0.08473771629117739,0.09809027777777778,73,130.23227982384768,0.3019065856933594
74,617.774,1959.1800000000003,7628.000000000001,100,100,1090,6.2920554137335865,6.99816513761468,7.149334669113159,-1959.1800000000003,0.015641547325584624,32.06725251674652,0.3068522351483504,0.1463795219767942,0.1189236111111111,74,130.35020800075165,0.3019065856933594
75,625.296,1968.0800000000004,7575.000000000001,100,100,1089,6.024639579617992,6.9559228650137745,6.858793020248413,-1968.0800000000004,-0.01007453983442651,26.812765114837223,0.3495614036089844,0.27182288173612,0.12803819444444445,75,130.5237585040451,0.3019065856933594
76,632.783,1923.4233333333316,7470.999999999996,100,100,1087,6.038370927030661,6.873045078196869,6.8599817752838135,-1923.4233333333316,-0.014263330246595776,33.62824069752413,0.33757639062755246,0.08444302942028598,0.09937412488986463,76,130.69725782604465,0.3019065856933594
77,640.654,1831.4266666666663,7377.999999999996,100,100,1090,6.363850091947157,6.768807339449538,7.220977306365967,-1831.4266666666663,-0.005592024522937006,38.29213269551595,0.35088019554192823,0.13881292277559018,0.1189236111111111,77,130.79287251729028,0.3019065856933594
78,648.539,1960.8266666666664,7498.333333333333,100,100,1090,6.3439984425663125,6.879204892966361,7.219241142272949,-1960.8266666666664,-0.020814299686915345,31.0673086643219,0.3485450463162528,0.12102783806363328,0.09765625,78,130.88343864013814,0.3019065856933594
79,656.387,1976.0899999999997,7513.000000000001,100,100,1088,6.303676743139958,6.905330882352942,7.155023574829102,-1976.0899999999997,-0.015160922563689597,31.870605132159064,0.3749358908218496,0.10110777358332758,0.09558823529411764,79,130.97604001868476,0.3019065856933594
80,673.643,1964.076666666667,7581.333333333336,100,100,1088,6.304558825671419,6.968137254901963,7.166187763214111,-1964.076666666667,-0.011634488206575899,29.9569008771111,0.35674018018385945,0.10879437608973068,0.08501838235294118,80,131.0585545264734,0.3019065856933594
81,681.517,2011.0100000000002,7621.0,100,100,1088,6.371401193866725,7.004595588235294,7.230476140975952,-2011.0100000000002,-0.011399314684026381,31.908918380737305,0.3421580506598248,0.06270146746571888,0.1015625,81,129.33932649056888,0.3019065856933594
