step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,8.492,2371.9,8369.666666666668,100,100,1087,6.570693194992984,7.699785341919657,7.505687236785889,-2371.9,-0.02926301331642796,1644.8148588292738,1.0710263725589304,0.007591028728604536,0.11418942668858696,1,128.0103360461636,0.3019065856933594
2,17.042,2419.040000000001,8354.333333333338,100,100,1085,6.785851246612962,7.699846390168974,7.929931640625,-2419.040000000001,-0.04028387740254402,1685.1441434972426,1.0170784627690035,0.024558516698615515,0.2354899947257603,2,127.45196552495196,0.3019065856933594
3,24.929,2418.613333333334,8422.000000000005,100,100,1090,6.322436791165399,7.726605504587161,7.208373785018921,-2418.613333333334,-0.06786864711385635,1649.663837009006,0.9752081235249838,0.022844042603133455,0.2170138888888889,3,130.8531446556971,0.3019065856933594
4,32.782,2358.9533333333334,8393.0,100,100,1086,6.353279743467939,7.7283609576427255,7.212820529937744,-2358.9533333333334,-0.03963162366519956,1614.76320513557,0.9944769424550673,0.01692352693199235,0.1919176937902675,4,132.6378976466701,0.3019065856933594
5,40.64,2400.9833333333327,8349.333333333332,100,100,1089,6.334574566640924,7.666972757881847,7.206017732620239,-2400.9833333333327,-0.0025783776719537047,1696.5201822916667,0.9079546829064687,0.020209303869503654,0.20703125,5,133.78302475322283,0.3019065856933594
6,48.516,2428.1733333333327,8486.666666666666,100,100,1088,6.374135110865395,7.800245098039215,7.246930837631226,-2428.1733333333327,-0.03650279617046609,1675.2765969669117,0.8952972222776974,0.019236809622003314,0.21645220588235295,6,134.49072525080538,0.3019065856933594
7,55.778,2424.6966666666663,8487.999999999996,100,100,1087,5.83386559209854,7.808647654093833,6.639427423477173,-2424.6966666666663,-0.03032709682798561,1689.0550608915441,0.8350140627692727,0.01656418774441323,0.18447274802362218,7,136.47016936448478,0.3019065856933594
8,63.37,2376.0433333333326,8317.999999999996,100,100,1085,6.117134929359955,7.666359447004605,6.955451011657715,-2376.0433333333326,-0.034318078692783326,1599.2773401596967,0.843244896215551,0.015848372254849356,0.21349897454766667,8,137.2407271778516,0.3019065856933594
9,71.243,2352.93,8328.666666666664,100,100,1088,6.386813422175371,7.655024509803919,7.254464387893677,-2352.93,-0.03138210054706125,1559.2723963120404,0.8068377252887277,0.005520045729901861,0.20909926470588236,9,137.3462101655807,0.3019065856933594
10,89.204,2452.776666666666,8471.999999999993,100,100,1091,6.363480564742072,7.765352887259389,7.256282567977905,-2452.776666666666,-0.015965441448820963,1704.3250223795574,0.7362068937056594,0.006710889868878035,0.20283564842409557,10,137.40801731515262,0.3019065856933594
11,96.721,2404.2766666666666,8581.0,100,100,1085,6.060800554814495,7.908755760368663,6.882972955703735,-2404.2766666666666,-0.02277753080296166,1596.4059412339154,0.7109510109705084,0.002640807638218736,0.18645280774901896,11,123.66433990544735,0.3019065856933594
12,104.629,2377.3599999999997,8398.666666666662,100,100,1089,6.373541415634816,7.712274257728799,7.259157419204712,-2377.3599999999997,-0.033940140468378864,1542.3586213853623,0.627007438076867,0.031355568363020815,0.2092013888888889,12,124.7260735718044,0.3019065856933594
13,112.487,2460.9066666666677,8503.333333333336,100,100,1088,6.357629593527664,7.815563725490199,7.2282021045684814,-2460.9066666666677,-0.024295212865314064,1690.1870081284467,0.5771233413149329,0.031137518622392023,0.21415441176470587,13,125.68596006439148,0.3019065856933594
14,120.309,2196.960000000001,8132.333333333337,100,100,1086,6.3504715491700265,7.488336402701047,7.191475868225098,-2196.960000000001,-0.015851851497941157,1341.289934943704,0.5471643314642065,0.06494208117810023,0.19809950099271886,14,126.54083982710716,0.3019065856933594
15,128.172,2395.8266666666664,8342.999999999998,100,100,1088,6.353698070062605,7.668198529411763,7.225155353546143,-2395.8266666666664,-0.016355705666629708,1576.8490816004137,0.5186910524087793,0.06867823453948778,0.20542279411764705,15,127.26624236579113,0.3019065856933594
16,136.011,2336.1233333333334,8276.000000000004,100,100,1085,6.360088756483924,7.627649769585257,7.21086311340332,-2336.1233333333334,-0.014707804986220948,1456.2072682100184,0.49056345136726603,0.14607614955371795,0.22059576739283168,16,127.90913920421006,0.3019065856933594
