step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,2.788,2478.2600000000007,7380.333333333332,100,100,980,1.9762610208851343,7.53095238095238,2.127737522125244,-2478.2600000000007,-0.03170132136438042,2063.2413635253906,1.4980899393558502,0.009483401307079475,0.1240234375,1,351.4446815196086,0.30460214614868164
2,5.269,2550.8066666666673,7592.999999999998,100,100,980,1.9804171419569425,7.747959183673467,2.1325767040252686,-2550.8066666666673,-0.03422495326958597,2096.777687072754,1.4545232951641083,0.02269090313347988,0.21376953180879354,2,371.98101424565056,0.30460214614868164
3,7.771,2513.903333333332,7410.666666666666,100,100,972,1.9895240748080774,7.624142661179698,2.1225438117980957,-2513.903333333332,-0.05089834856335074,2082.915184020996,1.4699266031384468,0.01591489030397497,0.2355143241584301,3,377.279827785863,0.30460214614868164
4,10.322,2538.3266666666646,7651.666666666664,100,100,983,2.0139331608207276,7.7839945744320085,2.17317271232605,-2538.3266666666646,-0.03621413744986057,2128.8312072753906,1.441127322614193,0.02082665776833892,0.21520465333014727,4,379.278487398409,0.30460214614868164
5,12.82,2447.309999999998,7270.666666666665,100,100,975,1.9655944619518824,7.457094017094016,2.105503559112549,-2447.309999999998,-0.01369908673223108,2002.2731857299805,1.4023555628955364,0.019538887732778676,0.2227539075538516,5,381.43990582760506,0.30460214614868164
6,15.387,2477.836666666667,7529.66666666667,100,100,974,2.0378289562105,7.730663928815883,2.172722339630127,-2477.836666666667,-0.029307270713616163,2051.096389770508,1.389578890055418,0.01812182681169361,0.20800781366415322,6,381.09468570486416,0.30460214614868164
7,17.902,2462.606666666665,7687.333333333332,100,100,978,1.9999856836589125,7.860259032038172,2.143913745880127,-2462.606666666665,-0.04834674304584041,1941.527500152588,1.391196072101593,0.008914175843528938,0.19048394123092294,7,382.19409310437953,0.30460214614868164
8,20.436,2442.316666666665,7363.66666666667,100,100,979,2.017264046651084,7.521620701395985,2.163100242614746,-2442.316666666665,-0.04851333601982333,1945.873291015625,1.3466328643262386,-0.000805669063993264,0.1960320721846074,8,382.7142367486501,0.30460214614868164
9,22.965,2595.703333333331,7626.666666666661,100,100,973,2.0244159299750093,7.838300787941069,2.162105083465576,-2595.703333333331,-0.024137772212270647,2218.1639442443848,1.345936592668295,0.0005420828456408344,0.1825045074801892,9,382.92948645475803,0.30460214614868164
10,28.378,2463.4033333333323,7533.0,100,100,980,1.945755712222308,7.686734693877551,2.0955617427825928,-2463.4033333333323,-0.030270807823399082,1953.8799476623535,1.2017663605511189,0.01364624897541944,0.22226562537252903,10,384.35162160394236,0.30460214614868164
