step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,4.581,1311.3999999999996,6323.333333333332,100,100,1089,2.83038135899402,5.806550352004896,3.534663200378418,-1311.3999999999996,-0.03704871268322071,510.88659964667426,1.0430883649322722,0.0056574213732447885,0.1232638888888889,1,237.72422140531143,0.2982139587402344
2,8.142,1329.6566666666665,6341.333333333333,100,100,1088,2.3753630514788178,5.828431372549019,3.01619815826416,-1329.6566666666665,-0.03733687091837911,532.3483482809628,0.9872943986864651,0.02148101003566647,0.18566176470588236,2,267.37059151828197,0.2982139587402344
3,12.135,1250.636666666667,6174.999999999998,100,100,1088,2.6438469668853353,5.675551470588234,3.3238909244537354,-1250.636666666667,-0.030809232362491244,476.92280668370864,0.9397609198794645,0.0173902519266395,0.20634191176470587,3,269.0646899422198,0.2982139587402344
4,15.93,1250.5333333333342,6164.666666666669,100,100,1085,2.4891392626561717,5.681720430107529,3.140970468521118,-1250.5333333333342,-0.03136732615530491,475.58918582691865,0.9142069097827462,0.019624744850101277,0.21917188846889665,4,273.0621262568506,0.2982139587402344
5,19.709,1275.5533333333324,6163.33333333333,100,100,1086,2.5199110496769492,5.675260896255368,3.179177761077881,-1275.5533333333324,-0.03165181485169074,488.6537520464729,0.8687120448140537,0.019613837604137027,0.1963205635547638,5,275.8083810668414,0.2982139587402344
6,23.595,1264.4433333333334,6210.333333333333,100,100,1084,2.5763427121658986,5.729089790897909,3.240455150604248,-1264.4433333333334,-0.031570939730633706,489.20198418112363,0.8464164821540608,0.014814575593096806,0.18814338349244175,6,276.3276726983407,0.2982139587402344
7,27.595,1229.3133333333335,6204.999999999999,100,100,1091,2.6814300642318893,5.68744271310724,3.369429588317871,-1229.3133333333335,-0.014166402268326946,476.3657446967231,0.8305378531416258,0.015153834169420103,0.18894675953520668,7,275.82462602484935,0.2982139587402344
8,31.639,1319.5133333333342,6312.666666666667,100,100,1090,2.683581284405808,5.791437308868502,3.3688695430755615,-1319.5133333333342,-0.06362868033142553,514.5889020628399,0.7856216811471515,0.018032148693843435,0.20225694444444445,8,275.0053351637966,0.2982139587402344
9,35.634,1315.163333333334,6254.666666666667,100,100,1088,2.644013694872255,5.748774509803922,3.3358495235443115,-1315.163333333334,-0.02833146689569249,499.65743390251606,0.7853324097745559,0.019531060886733672,0.20220588235294118,9,274.7129671667957,0.2982139587402344
10,44.924,1228.3500000000001,6067.666666666665,100,100,1087,2.546424471072707,5.5820300521312465,3.2084341049194336,-1228.3500000000001,-0.024273242856211522,445.6279467414407,0.8102377565468059,0.013714023982174695,0.1587593375759966,10,275.3135536564776,0.2982139587402344
11,48.917,1355.9566666666663,6280.0,100,100,1088,2.6437191176970534,5.772058823529412,3.3419485092163086,-1355.9566666666663,-0.029207564945168355,514.9654181985294,0.7838813382036546,0.019737761912812644,0.17095588235294118,11,244.5822355147325,0.2982139587402344
