run_name,n_aisles,n_positions,n_pickers,n_robots,robot_capacity,state_channels,gamma,n_actions,n_parameters,n_episodes,total_decisions,wall_clock_s,decisions_per_second,device
e1_k1r1_run1,9,20,1,1,1,base,0.99,361,10408938,2000,2184000,13985.014,156.167,cuda
e1_k3r1_run1,9,20,3,1,1,base,0.99,721,11146578,2000,2184000,12241.797,178.405,cuda
e1_k4r2_run1,9,20,4,2,1,base,0.99,1082,11886267,2000,2183997,16321.295,133.813,cuda
e0_run1,9,20,3,6,1,base,0.99,1626,13000923,2000,2176675,10087.127,215.787,cuda
e0_run3,9,20,3,6,1,base,0.99,1626,13000923,2000,2176549,13702.517,158.843,cuda
e0_run2,9,20,3,6,1,base,0.99,1626,13000923,2000,2176416,11989.187,181.532,cuda
e4_gamma0.95_run2,9,20,3,6,1,base,0.95,1626,13000923,2000,2176854,13579.482,160.305,cuda
e4_gamma0.95_run1,9,20,3,6,1,base,0.95,1626,13000923,2000,2176915,16997.184,128.075,cuda
e4_gamma0.99_run2,9,20,3,6,1,base,0.99,1626,13000923,2000,2176411,7670.646,283.732,cuda
e4_gamma0.99_run3,9,20,3,6,1,base,0.99,1626,13000923,2000,2176773,8187.996,265.849,cuda
e4_gamma0.95_run3,9,20,3,6,1,base,0.95,1626,13000923,2000,2177171,10975.165,198.373,cuda
e4_gamma0.99_run1,9,20,3,6,1,base,0.99,1626,13000923,2000,2176527,9587.654,227.014,cuda
e4_gamma1.00_run1,9,20,3,6,1,base,1.0,1626,13000923,2000,2176119,6720.196,323.818,cuda
e4_gamma1.00_run2,9,20,3,6,1,base,1.0,1626,13000923,2000,2176273,6712.321,324.221,cuda
e5_plus_run1,9,20,3,6,1,plus_agent,0.99,1626,13003227,2000,2176478,16995.311,128.063,cuda
e4_gamma1.00_run3,9,20,3,6,1,base,1.0,1626,13000923,2000,2176625,6700.597,324.84,cuda
e8_mid_run1,9,20,3,6,1,base,0.99,1626,13000923,2000,2177332,8033.463,271.033,cuda
e6_tau20_run1,9,20,3,6,1,base,0.99,1626,13000923,2000,2175203,13590.068,160.058,cuda
e5_plus_run2,9,20,3,6,1,plus_agent,0.99,1626,13003227,2000,2176634,13580.519,160.276,cuda
e5_plus_run3,9,20,3,6,1,plus_agent,0.99,1626,13003227,2000,2176681,10971.299,198.398,cuda
e6_tau15_run1,9,20,3,6,1,base,0.99,1626,13000923,2000,2175912,17017.888,127.86,cuda
e7_c3_run1,9,20,3,6,3,base,0.99,1626,13000923,2000,2013423,8756.534,229.934,cuda
e7_c2_run1,9,20,3,6,2,base,0.99,1626,13000923,2000,2064887,9231.725,223.673,cuda
e2_k8r16_run1,9,20,8,16,1,base,0.99,4336,18553713,2000,2182821,13395.048,162.957,cuda
e2_k10r20_run1,9,20,10,20,1,base,0.99,5420,20774829,2000,2183599,12520.368,174.404,cuda
